Teknologi,Programming Language skills;Critical Thinking;Linux;Python;SQL;Java,69.35,Ya,Redhat certification,Ya,senior software engineer,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Control of mobile robots;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Digital Signal Processing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Electric Power Systems;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Electric machines;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Power Electronics"",Ya,Embedded System Engineer,Tidak,Sarjana Teknik,Teknik";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Research;Teaching;Technology;"Data analytics,""Active Listening";Critical Thinking;Analytical Skills;People management;Communication skills;Leadership;Problem Solving skills;Designing skills;"Proeficiency in Software like STAAD PRO, ETABS "",74.33,Tidak,Tidak,Ya,Assistant Professor,Master in Structural Engineering,BE,Structural Engineeeing";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Teaching;Technology;Industires,Hardware skills,92.0,Tidak,Tidak,Ya,Mine Engineer,Mine Engineer,Sarjana Teknik Pertambangan,Teknik Pertambangan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;Research;Sales/Marketing;Technology;Data analytics,Business Knowledge;Analytical Skills;Product knowledge;Problem Solving skills;Risk management skills;Designing skills;Machine Learning skills;Python;SQL;Cloud Computing;HR,61.75,Tidak,Tidak,Tidak,Not Applicable,Tidak,Sarjana Ilmu Komputer,Ilmu Komputer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;All fields related to Data science.;Industires;"Information Technology,""Proeficiency in Software like STAAD PRO, ETABS";"CAD/CAE(autocad/catia/ansys/proE/SeimensNX)"",73.15,Ya,ANSYS,Ya,Mechanical Design Engineer,Tidak,Sarjana Teknik Mesin,Teknik Mesin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis;News Coverage;Research;Sales/Marketing;Social Justice;Teaching;Technology;Trading;Understand human behaviour;Understand human body;Supply Chain Analysis;Data analytics;Govt. Job;Game industry;Digital marketing,Accounting Skills;Active Listening;Critical Thinking;Gathering Information;Business Knowledge;Analytical Skills;Finance related skills;People management;Communication skills;Negotiation skills;Mass Communication;Leadership;Product knowledge;Problem Solving skills;Risk management skills;Data Visualization skills( Power Bi/ Tableau );Sales;Interpersonal skills;Wealth Management,80.0,Tidak,Tidak,Ya,Finance Manager,M. Com,Sarjana Akuntansi,Akuntansi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Technology;Service,Programming Language skills;Communication skills;Writing skills;Machine Learning skills;Sales;C++;R,76.95,Tidak,Tidak,Tidak,Not Applicable,Tidak,Sarjana Seni,Kesenian;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mengajar,Active Listening;"Teaching,69.0,Tidak,Tidak,Ya,Teaching,MCA,BCA,""C,c++, java""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Market reserach,Business Knowledge;Civil & Criminal Law;Product knowledge,74.955,Tidak,Tidak,Ya,National Head ,Tidak,Sarjana Teknik Sipil,Teknik Sipil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Design,Critical Thinking;Problem Solving skills;Designing skills;Interpersonal skills;"Python,73.15,Ya,""CATIA,AUTOCAD,PRO E"",Ya,Field Engineer,Tidak,Sarjana Teknik Mesin,Teknik Mesin";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Analysis,Strategic Planning;Financial Analysis;Financial Modeling;Marketing Strategy;"Financial Services,73.625,Ya,""Equity Derivatives";Advanced Financial Statements Analysis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Financial Modelling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Integrated Mangement and Safety;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Pricing and Valuation of Fixed Income Instruments"",Ya,Investment Banking Associate,Tidak,Sarjana Administrasi Bisnis,Administrasi Bisnis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
